stop_id	stop_name
	
24814	Barbadoes St near Canon 
40064	Hussey Rd near Springvale Gdns
22636	Waltham Rd near Coleridge St
43571	Memorial Ave near Ilam Rd
18131	Hardy St near Beresford 
42241	Main North Rd near Kaiapoi Golf Club
20451	Hills Rd near Warden St
17282	Highsted Rd near Sapphire St
46608	Halswell Junction Rd near Foremans 
45757	O'Neill Ave near Beechwood Dr
21789	Effingham St near Marine Pde
10656	Guildford St near Wayside Ave
36804	Gayhurst Rd near Strathfield Ave
12837	Lincoln Rd near Nairn St
53383	Lake Tce Rd near New Brighton 
54239	Innes Rd near Nancy Ave
11500	The Hub Hornby
33779	Patterson Tce near Alvaston Dr
20467	Hills Rd near Dudley St
18149	Seaview Rd
41382	Fendalton Rd near Waiwetu St
17295	Veitches Rd near Larch Pl
40055	Town Hall
21791	Effingham St near Surfers Pl
23972	Sydenham Shops
39061	Travis Rd near Country Dr
42239	Winchester St near Coleridge Tce
54241	Greers Rd near Westburn Terrace
11516	Rossall St near Rhodes 
10660	Carlton Mill Rd near Shrewsbury St
29273	Regents Park Dr near Styx Mill Rd
12844	Papanui Rd near Webb St
33767	Nottingham Ave near Arkwright Pl
11996	St Martins Rd near Ensors 
40040	Port Hills Rd near Curries 
17269	Veitches Rd near Kimberley St
39057	New Brighton Rd near Locksley Ave
23940	Colombo St near Southampton 
15083	Main North Rd near Parsonage 
11965	Barrington St near Wychbury 
32421	Opawa Rd near Brougham St
29241	Regents Park Dr near Styx Mill Rd
10639	Clyde Rd near Morley St
33751	Patterson Tce near Clipston Pl
12816	Papanui Rd near Weston 
54256	Greers Rd near Westburn Terrace
23955	Colombo St near Byron 
39042	Awatea Rd near Owaka 
15096	Rangiora Woodend Rd near Chinnerys 
24805	Yaldhurst Rd near Bucknell St
38197	Amyes Rd near Trevor St
42698	Colenso St near Menzies 
40038	North Pde near Poulton Ave
54260	Victoria St near Peterborough 
42218	Dublin St near Norwich Qy
45726	Charlesworth St near Ti Rakau Dr
20446	Broadhaven Ave near Anglesea 
11977	Harvard Ave and Main South Rd
32893	Huntsbury
10641	Clyde Rd near Hooker Ave
19459	Harewood Rd near Trafford St
38184	Awatea Rd near Dix St
15065	Main North Rd near Woodend Beach 
20894	Broadhaven Ave near Ferngrove Pl
18578	N Avon Rd near Tweed St
42680	Sumner
39035	Awatea Rd near Owaka 
3684	Acacia Avenue near Hibiscus Grove
41353	Templeton
23929	Hargood St near Clydesdale 
54273	Waimairi Rd near Dovedale Ave
20414	Queenspark
43537	Rossall St near Highgate Ave
32886	Huntsbury Ave
11949	Clarence St near Peverel 
10618	Clyde Rd near Wai-iti Tce
32409	Ramahana Rd near Aotea Tce
19428	Colombo St near Bealey Ave
20422	Broadhaven Ave near Ferngrove Pl
40491	Ferry Rd near Osborne St
38178	Awatea Rd near Dix St
18584	Beach Rd near Bower Ave
17253	Riccarton Ave
15077	Woodend (Main North Rd)
43528	Williams St near Courtenay Drive
41348	Fendalton
40017	Rossall St near Highgate Ave
29239	Daniels Rd near Marwick Pl
44858	Ti Rakau Dr near Kestrel Pl
11954	St Martins Rd near Wilding 
54287	Waimairi Rd near Dovedale Ave
32872	Huntsbury Ave near Ramahana Rd
10625	Clyde Rd near Evatt St
19437	Veitches Rd near Larch Pl
12800	Papanui Rd near Milford St
18108	Wainoni Rd near Ottawa 
41330	New Brighton Rd near Bower Ave
20873	Queenspark
19400	Colombo St near Canon 
23901	Hargood St and Linwood Ave
38166	Awatea Rd near Gdns
14198	Buchanans Rd near Peebles Dr
16370	Wairakei Rd near Charlcott St
42667	Wakefield Ave near Paisley St
54294	Cranford St near Knowles 
32864	Ramahana Rd near Aotea Tce
15049	Main North Rd near the lakes
39019	Main South Rd near Canterbury St
33714	Selwyn St near Bletsoe Ave
30688	Gloucester St near Latimer Square
26170	Woodend (Main North Rd)
42651	Nayland St near Head 
18566	Marine Pde near Rawhiti Ave
39003	Main South Rd near Tower St
17230	Riccarton Ave (Hospital)
23917	Colombo St near Boon 
20405	Broadhaven Ave near Jacaranda Pl
21736	Effingham St near Pegasus Ave
20887	Bower Ave near Pinewood 
38150	Awatea Rd near Gdns
10602	Clyde Rd near Jeffreys 
30674	Marriner St near Wakefield Ave
26189	Estuary Rd near Beatty St
33705	Selwyn St near Cheviot 
19416	Harewood Rd near Gardiners 
11931	Cashmere Rd near Crichton Tce
32855	Ramahana Rd near Aotea Tce
24418	Barbadoes St near Bealey Ave
10251	Maidstone Rd near Colina St
23566	Ferry Rd near Phillipstown Cts
19060	Highsted Rd near Glenmore Ave
53781	Yaldhurst
32048	Carmen Rd near Halwyn Dr
54633	Gardiners Road near Cullahill Street
22230	Westlake Dr near Hemingford Pl
51126	Disraeli St near Selwyn 
43172	Harper Ave near Deans 
12431	Stanmore Rd near Lychgate Cl
14612	Gilberthorpes Rd near Waterloo 
36889	Buckleys Rd near Pamela St
13766	Lake Terrace Rd near Fairway Dr
53308	Westfield Riccarton
15943	Main North Rd near Swift St
43164	Wairakei Rd near Jennifer St
36870	Kerrs Rd
44014	Ashley St near River Rd
11592	Hoon Hay Rd near Cashmere 
32030	Blenheim Rd near Cable St
19073	Highsted Rd near Sapphire St
26601	Southern Park and Ride (South Belt)
24425	Flockton St near Archer 
33369	Milton St
15958	Main North Rd near Thompsons 
3248	Mt Pleasant Terminus
37721	Memorial Ave near Hampton Pl
54646	Southbridge
53799	Yaldhurst
